Region,Organ,Recipient Age,Years Post Transplant,Number Functioning / Alive,Survival Rate,95% Confidence Interval
,,,,,,
U.S.,Heart / Lung,1-5 Years,1 Year,2,*,"(., .)"
U.S.,Heart / Lung,6-10 Years,1 Year,1,*,"(., ."
U.S.,Heart / Lung,11-17 Years,1 Year,11,84.6,"(51.2, 95.9)"
U.S.,Heart / Lung,18-34 Years,1 Year,16,80,"(55.1, 92.0)"
U.S.,Heart / Lung,35-49 Years,1 Year,23,92,"(71.6, 97.9)"
U.S.,Heart / Lung,50-64 Years,1 Year,18,75.8,"(53.8, 88.3)"
U.S.,Heart / Lung,65 +,1 Year,1,*,"(., .)"
U.S.,Heart / Lung,1-5 Years,3 Year,2,*,"(., .)"
U.S.,Heart / Lung,11-17 Years,3 Year,4,*,"(., .)"
U.S.,Heart / Lung,18-34 Years,3 Year,17,63.6,"(42.9, 78.5)"
U.S.,Heart / Lung,35-49 Years,3 Year,22,66.7,"(47.9, 80.0)"
U.S.,Heart / Lung,50-64 Years,3 Year,24,57.4,"(41.1, 70.6)"
U.S.,Heart / Lung,1-5 Years,5 Year,1,*,"(., .)"
U.S.,Heart / Lung,6-10 Years,5 Year,1,*,"(., .)"
U.S.,Heart / Lung,11-17 Years,5 Year,3,*,"(., .)"
U.S.,Heart / Lung,18-34 Years,5 Year,17,51,"(33.4, 66.1)"
U.S.,Heart / Lung,35-49 Years,5 Year,17,45.9,"(29.6, 60.9)"
U.S.,Heart / Lung,50-64 Years,5 Year,21,56.8,"(39.4, 70.8)"
U.S.,Heart,< 1 Year,1 Year,406,87.4,"(84.0, 90.1)"
U.S.,Heart,1-5 Years,1 Year,345,92.4,"(89.2, 94.6)"
U.S.,Heart,6-10 Years,1 Year,223,91.9,"(87.7, 94.7)"
U.S.,Heart,11-17 Years,1 Year,507,96.6,"(94.7, 97.9)"
U.S.,Heart,18-34 Years,1 Year,840,90.9,"(88.8, 92.6)"
U.S.,Heart,35-49 Years,1 Year,1588,90.6,"(89.1, 91.8)"
U.S.,Heart,50-64 Years,1 Year,3896,90.4,"(89.5, 91.3)"
U.S.,Heart,65 +,1 Year,1514,88.2,"(86.6, 89.6)"
U.S.,Heart,< 1 Year,3 Year,362,83.9,"(80.1, 87.0)"
U.S.,Heart,1-5 Years,3 Year,282,85,"(80.7, 88.4)"
U.S.,Heart,6-10 Years,3 Year,186,87,"(81.7, 90.8)"
U.S.,Heart,11-17 Years,3 Year,458,91.5,"(88.7, 93.6)"
U.S.,Heart,18-34 Years,3 Year,722,82.1,"(79.4, 84.5)"
U.S.,Heart,35-49 Years,3 Year,1398,84.8,"(83.0, 86.4)"
U.S.,Heart,50-64 Years,3 Year,3373,84.8,"(83.7, 85.9)"
U.S.,Heart,65 +,3 Year,1191,82.1,"(80.0, 83.9)"
U.S.,Heart,< 1 Year,5 Year,317,75,"(70.6, 78.8)"
U.S.,Heart,1-5 Years,5 Year,257,78.1,"(73.3, 82.1)"
U.S.,Heart,6-10 Years,5 Year,166,84.1,"(78.3, 88.5)"
U.S.,Heart,11-17 Years,5 Year,356,78.4,"(74.4, 81.9)"
U.S.,Heart,18-34 Years,5 Year,597,72.3,"(69.2, 75.2)"
U.S.,Heart,35-49 Years,5 Year,1231,78.1,"(76.0, 80.0)"
U.S.,Heart,50-64 Years,5 Year,2971,78.3,"(76.9, 79.5)"
U.S.,Heart,65 +,5 Year,879,75.4,"(72.9, 77.8)"
U.S.,Intestine,< 1 Year,1 Year,15,83.3,"(56.8, 94.3)"
U.S.,Intestine,1-5 Years,1 Year,106,79.1,"(71.2, 85.1)"
U.S.,Intestine,6-10 Years,1 Year,25,83.6,"(65.0, 92.8)"
U.S.,Intestine,11-17 Years,1 Year,19,82.6,"(60.1, 93.1)"
U.S.,Intestine,18-34 Years,1 Year,64,82.1,"(71.6, 89.0)"
U.S.,Intestine,35-49 Years,1 Year,76,75.2,"(65.6, 82.5)"
U.S.,Intestine,50-64 Years,1 Year,69,65.7,"(55.8, 73.9)"
U.S.,Intestine,65 +,1 Year,1,*,"(., .)"
U.S.,Intestine,< 1 Year,3 Year,17,63,"(42.1, 78.1)"
U.S.,Intestine,1-5 Years,3 Year,82,64.1,"(55.1, 71.7)"
U.S.,Intestine,6-10 Years,3 Year,21,78.1,"(57.6, 89.5)"
U.S.,Intestine,11-17 Years,3 Year,17,73.9,"(50.9, 87.3)"
U.S.,Intestine,18-34 Years,3 Year,40,52.2,"(40.6, 62.6)"
U.S.,Intestine,35-49 Years,3 Year,63,65.2,"(54.8, 73.7)"
U.S.,Intestine,50-64 Years,3 Year,50,47.7,"(38.0, 56.8)"
U.S.,Intestine,65 +,3 Year,1,*,"(., .)"
U.S.,Intestine,< 1 Year,5 Year,42,61.8,"(49.1, 72.1)"
U.S.,Intestine,1-5 Years,5 Year,96,55.4,"(47.7, 62.4)"
U.S.,Intestine,6-10 Years,5 Year,21,58.3,"(40.7, 72.4)"
U.S.,Intestine,11-17 Years,5 Year,11,50,"(28.2, 68.4)"
U.S.,Intestine,18-34 Years,5 Year,46,45.3,"(35.5, 54.6)"
U.S.,Intestine,35-49 Years,5 Year,57,49.5,"(40.1, 58.1)"
U.S.,Intestine,50-64 Years,5 Year,39,35,"(26.3, 43.8)"
U.S.,Intestine,65 +,5 Year,3,*,"(., .)"
U.S.,Kidney,< 1 Year,1 Year,5,*,"(., .)"
U.S.,Kidney,1-5 Years,1 Year,650,95.2,"(93.4, 96.6)"
U.S.,Kidney,6-10 Years,1 Year,525,96.4,"(94.5, 97.7)"
U.S.,Kidney,11-17 Years,1 Year,1604,97,"(96.1, 97.7)"
U.S.,Kidney,18-34 Years,1 Year,8410,96.4,"(96.0, 96.8)"
U.S.,Kidney,35-49 Years,1 Year,16598,95.7,"(95.4, 96.0)"
U.S.,Kidney,50-64 Years,1 Year,25004,94.4,"(94.2, 94.7)"
U.S.,Kidney,65 +,1 Year,11324,91.7,"(91.3, 92.2)"
U.S.,Kidney,< 1 Year,3 Year,3,*,"(., .)"
U.S.,Kidney,1-5 Years,3 Year,632,92.6,"(90.4, 94.3)"
U.S.,Kidney,6-10 Years,3 Year,502,94.2,"(91.9, 95.9)"
U.S.,Kidney,11-17 Years,3 Year,1451,89.8,"(88.2, 91.1)"
U.S.,Kidney,18-34 Years,3 Year,6991,88.1,"(87.4, 88.8)"
U.S.,Kidney,35-49 Years,3 Year,14812,90.3,"(89.9, 90.8)"
U.S.,Kidney,50-64 Years,3 Year,22477,87.9,"(87.5, 88.3)"
U.S.,Kidney,65 +,3 Year,9357,82.2,"(81.5, 82.9)"
