,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"551,502","8,754","25,500","24,670","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,455","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
< 1 Year,,117,0,1,0,0,0,0,0,0,2,3,0,2,0,1,4,1,2,7,4,2,0,5,4,4,9,3,3,7,7,4,6,4,10,8,6,8
1-5 Years,,"5,244",60,148,184,184,164,167,183,158,163,151,195,187,173,158,179,137,162,163,155,152,155,141,152,107,136,115,132,139,112,93,145,121,120,116,118,119
6-10 Years,,"5,003",57,122,138,129,156,160,131,133,145,128,147,139,130,144,156,149,141,138,155,130,149,157,141,126,144,153,137,146,147,140,135,122,163,146,146,123
11-17 Years,,"15,482",122,432,497,397,440,428,432,437,408,434,409,430,454,445,528,486,491,584,578,479,506,465,429,392,461,393,405,417,454,436,376,344,348,372,366,407
18-34 Years,,"89,581",892,"2,841","2,975","2,639","2,746","2,509","2,414","2,480","2,519","2,068","2,070","2,151","2,012","2,167","2,205","2,254","2,265","2,521","2,492","2,671","2,514","2,573","2,684","2,603","2,570","2,604","2,487","2,574","2,624","2,720","2,815","2,722","2,867","2,842","2,697","2,794"
35-49 Years,,"159,707","2,017","6,195","6,115","5,527","5,624","5,225","5,087","4,957","4,834","4,363","4,123","4,180","4,417","4,485","4,544","4,460","4,677","4,771","4,751","4,834","4,644","4,666","4,669","4,652","4,288","4,342","4,181","4,162","4,064","3,925","3,759","3,630","3,589","3,461","3,200","3,289"
50-64 Years,,"196,997","3,438","9,809","9,492","8,895","9,142","8,259","7,936","7,389","6,736","6,645","6,850","6,445","6,679","6,686","6,552","6,517","6,519","6,523","6,167","5,882","5,483","5,240","4,912","4,535","4,208","3,934","3,647","3,285","3,070","2,811","2,674","2,375","2,243","2,175","1,918","1,926"
65 +,,"79,370","2,168","5,952","5,269","5,046","5,129","4,419","3,666","3,506","3,071","3,316","3,102","2,953","2,951","2,814","2,661","2,517","2,377","2,388","2,183","1,857","1,687","1,533","1,288","1,212",951,911,718,681,606,517,450,420,338,296,205,212
Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
