Transplant Year,Organ,Age Group,N,Graft Survival Rate [95% CI],Patient Survival Rate [95% CI]
1988,Heart/Lung,1-5 Years,1,*,*
1988,Heart/Lung,11-17 Years,6,*,*
1988,Heart/Lung,18-34,31,*,*
1988,Heart/Lung,35-49,26,*,*
1988,Heart/Lung,50-64,6,*,*
1988,Heart/Lung,6-10 Years,3,*,*
1988,Heart,<1 Year,34,"46.87 [29.61, 62.40]","51.70 [33.60, 67.10]"
1988,Heart,1-5 Years,19,"78.95 [53.19, 91.53]","78.95 [53.19, 91.53]"
1988,Heart,11-17 Years,41,"65.85 [49.26, 78.16]","67.91 [51.21, 79.95]"
1988,Heart,18-34,182,"69.20 [61.93, 75.36]","72.42 [65.21, 78.39]"
1988,Heart,35-49,478,"66.13 [61.68, 70.19]","68.13 [63.70, 72.13]"
1988,Heart,50-64,836,"65.31 [61.97, 68.44]","66.62 [63.29, 69.72]"
1988,Heart,6-10 Years,18,"55.56 [30.51, 74.75]","55.56 [30.51, 74.75]"
1988,Heart,65+,24,"70.83 [48.38, 84.89]","70.83 [48.38, 84.89]"
1989,Heart/Lung,<1 Year,1,*,*
1989,Heart/Lung,1-5 Years,1,*,*
1989,Heart/Lung,11-17 Years,2,*,*
1989,Heart/Lung,18-34,29,"34.48 [18.17, 51.45]","37.36 [20.24, 54.50]"
1989,Heart/Lung,35-49,27,"37.04 [19.60, 54.59]","37.04 [19.60, 54.59]"
1989,Heart/Lung,50-64,4,*,*
1989,Heart/Lung,6-10 Years,3,*,*
1989,Heart,<1 Year,71,"54.11 [41.67, 64.99]","57.88 [45.25, 68.58]"
1989,Heart,1-5 Years,22,"80.81 [56.49, 92.36]","80.81 [56.49, 92.36]"
1989,Heart,11-17 Years,40,"64.81 [47.92, 77.45]","65.00 [48.18, 77.56]"
1989,Heart,18-34,172,"66.71 [59.10, 73.22]","68.18 [60.59, 74.62]"
1989,Heart,35-49,491,"67.72 [63.36, 71.68]","70.83 [66.53, 74.68]"
1989,Heart,50-64,805,"65.86 [62.46, 69.03]","66.92 [63.53, 70.07]"
1989,Heart,6-10 Years,16,"68.75 [40.46, 85.63]","68.75 [40.46, 85.63]"
1989,Heart,65+,41,"68.03 [51.36, 80.04]","68.29 [51.74, 80.19]"
1990,Heart/Lung,1-5 Years,3,*,*
1990,Heart/Lung,11-17 Years,2,*,*
1990,Heart/Lung,18-34,24,"41.67 [22.24, 60.06]","41.67 [22.24, 60.06]"
1990,Heart/Lung,35-49,19,"52.63 [28.72, 71.88]","52.63 [28.72, 71.88]"
1990,Heart/Lung,50-64,3,*,*
1990,Heart,<1 Year,86,"58.65 [47.37, 68.31]","59.37 [48.02, 69.04]"
1990,Heart,1-5 Years,50,"69.84 [55.02, 80.59]","69.84 [55.02, 80.59]"
1990,Heart,11-17 Years,58,"54.82 [41.12, 66.59]","58.95 [44.88, 70.57]"
1990,Heart,18-34,167,"70.31 [62.70, 76.66]","71.94 [64.38, 78.17]"
1990,Heart,35-49,570,"71.37 [67.45, 74.91]","73.53 [69.68, 76.98]"
1990,Heart,50-64,1022,"68.43 [65.48, 71.19]","70.14 [67.20, 72.86]"
1990,Heart,6-10 Years,22,"77.01 [53.25, 89.73]","81.34 [57.57, 92.57]"
1990,Heart,65+,70,"58.11 [45.62, 68.70]","57.14 [44.75, 67.74]"
1991,Heart/Lung,1-5 Years,2,*,*
1991,Heart/Lung,11-17 Years,6,*,*
1991,Heart/Lung,18-34,16,*,*
1991,Heart/Lung,35-49,18,*,*
1991,Heart/Lung,50-64,6,*,*
1991,Heart/Lung,6-10 Years,2,*,*
1991,Heart,<1 Year,123,"51.47 [42.11, 60.04]","53.92 [44.38, 62.52]"
1991,Heart,1-5 Years,52,"61.27 [46.62, 73.02]","66.57 [51.78, 77.76]"
1991,Heart,11-17 Years,59,"52.00 [38.52, 63.88]","60.91 [46.45, 72.57]"
1991,Heart,18-34,165,"63.37 [55.48, 70.24]","67.61 [59.67, 74.33]"
1991,Heart,35-49,533,"70.03 [65.91, 73.75]","71.13 [67.04, 74.82]"
1991,Heart,50-64,1033,"67.34 [64.37, 70.11]","68.90 [65.96, 71.64]"
1991,Heart,6-10 Years,20,"60.00 [35.73, 77.60]","60.00 [35.73, 77.60]"
1991,Heart,65+,73,"58.65 [46.45, 68.99]","57.50 [45.36, 67.88]"
1992,Heart/Lung,<1 Year,1,*,*
1992,Heart/Lung,1-5 Years,3,*,*
1992,Heart/Lung,11-17 Years,5,*,*
1992,Heart/Lung,18-34,18,*,*
1992,Heart/Lung,35-49,18,*,*
1992,Heart/Lung,50-64,2,*,*
1992,Heart/Lung,6-10 Years,1,*,*
1992,Heart,<1 Year,88,"62.75 [51.57, 72.04]","63.62 [52.40, 72.87]"
1992,Heart,1-5 Years,59,"62.71 [49.10, 73.63]","70.85 [57.35, 80.77]"
1992,Heart,11-17 Years,56,"63.61 [49.43, 74.79]","71.51 [57.19, 81.78]"
1992,Heart,18-34,164,"59.34 [51.36, 66.45]","62.23 [54.18, 69.27]"
1992,Heart,35-49,503,"70.43 [66.20, 74.24]","71.97 [67.79, 75.71]"
1992,Heart,50-64,1118,"67.05 [64.20, 69.73]","68.13 [65.29, 70.79]"
1992,Heart,6-10 Years,23,"60.87 [38.27, 77.37]","60.87 [38.27, 77.37]"
1992,Heart,65+,85,"56.19 [44.94, 66.00]","57.15 [45.89, 66.91]"
1992,Heart,Not Reported,1,*,*
1993,Heart/Lung,1-5 Years,7,*,*
1993,Heart/Lung,11-17 Years,7,*,*
1993,Heart/Lung,18-34,25,"48.00 [27.81, 65.64]","48.00 [27.81, 65.64]"
1993,Heart/Lung,35-49,13,*,*
1993,Heart/Lung,50-64,8,*,*
1993,Heart,<1 Year,106,"57.32 [47.30, 66.12]","58.69 [48.59, 67.48]"
1993,Heart,1-5 Years,51,"60.55 [45.77, 72.47]","68.04 [53.17, 79.07]"
1993,Heart,11-17 Years,73,"53.25 [40.95, 64.09]","52.74 [40.40, 63.67]"
1993,Heart,18-34,188,"67.55 [60.26, 73.79]","69.39 [62.13, 75.53]"
1993,Heart,35-49,516,"70.11 [65.93, 73.88]","71.42 [67.28, 75.13]"
1993,Heart,50-64,1140,"66.78 [63.93, 69.45]","68.08 [65.27, 70.72]"
1993,Heart,6-10 Years,31,"67.74 [48.35, 81.16]","67.74 [48.35, 81.16]"
1993,Heart,65+,103,"62.17 [51.89, 70.87]","62.00 [51.88, 70.60]"
1994,Heart/Lung,1-5 Years,5,*,*
1994,Heart/Lung,11-17 Years,7,*,*
1994,Heart/Lung,18-34,22,"71.87 [47.67, 86.31]","68.18 [44.62, 83.38]"
1994,Heart/Lung,35-49,28,"42.86 [24.57, 59.96]","42.86 [24.57, 59.96]"
1994,Heart/Lung,50-64,6,*,*
1994,Heart/Lung,6-10 Years,3,*,*
1994,Heart,<1 Year,86,"53.25 [42.15, 63.15]","54.73 [43.46, 64.66]"
1994,Heart,1-5 Years,61,"53.61 [40.28, 65.22]","57.54 [43.85, 69.03]"
1994,Heart,11-17 Years,68,"67.38 [54.79, 77.18]","69.97 [57.39, 79.48]"
1994,Heart,18-34,172,"70.89 [63.37, 77.15]","72.28 [64.87, 78.39]"
1994,Heart,35-49,521,"70.40 [66.24, 74.16]","71.92 [67.81, 75.60]"
1994,Heart,50-64,1229,"70.71 [68.05, 73.19]","71.72 [69.09, 74.16]"
1994,Heart,6-10 Years,36,"63.33 [45.30, 76.83]","66.35 [48.38, 79.31]"
1994,Heart,65+,94,"67.93 [57.17, 76.53]","69.56 [59.04, 77.88]"
1994,Heart,Not Reported,2,*,*
1995,Heart/Lung,<1 Year,2,*,*
1995,Heart/Lung,1-5 Years,1,*,*
1995,Heart/Lung,11-17 Years,7,*,*
1995,Heart/Lung,18-34,20,*,"50.00 [27.13, 69.19]"
1995,Heart/Lung,35-49,29,"65.52 [45.41, 79.73]","65.52 [45.41, 79.73]"
1995,Heart/Lung,50-64,7,*,*
1995,Heart/Lung,6-10 Years,2,*,*
1995,Heart,<1 Year,88,"70.38 [59.64, 78.77]","71.39 [60.66, 79.68]"
1995,Heart,1-5 Years,56,"68.74 [54.57, 79.30]","79.07 [65.28, 87.87]"
1995,Heart,11-17 Years,74,"56.88 [44.59, 67.42]","59.78 [47.47, 70.09]"
1995,Heart,18-34,164,"70.50 [62.74, 76.95]","71.75 [64.05, 78.09]"
1995,Heart,35-49,509,"72.06 [67.88, 75.80]","73.61 [69.52, 77.23]"
1995,Heart,50-64,1217,"69.52 [66.82, 72.04]","70.14 [67.47, 72.64]"
1995,Heart,6-10 Years,34,"63.97 [45.33, 77.71]","75.19 [56.37, 86.78]"
1995,Heart,65+,138,"67.03 [58.32, 74.33]","67.33 [58.81, 74.47]"
1995,Heart,Not Reported,2,*,*
1996,Heart/Lung,1-5 Years,5,*,*
1996,Heart/Lung,11-17 Years,4,*,*
1996,Heart/Lung,18-34,11,*,*
1996,Heart/Lung,35-49,14,*,*
1996,Heart/Lung,50-64,2,*,*
1996,Heart/Lung,6-10 Years,1,*,*
1996,Heart,<1 Year,74,"75.31 [63.70, 83.67]","76.58 [65.04, 84.75]"
1996,Heart,1-5 Years,52,"59.25 [44.61, 71.23]","61.23 [46.57, 72.99]"
1996,Heart,11-17 Years,92,"70.55 [59.79, 78.93]","73.85 [63.30, 81.79]"
1996,Heart,18-34,171,"68.43 [60.80, 74.88]","69.40 [61.79, 75.80]"
1996,Heart,35-49,490,"68.15 [63.78, 72.10]","68.91 [64.57, 72.84]"
1996,Heart,50-64,1188,"71.95 [69.27, 74.44]","71.83 [69.17, 74.30]"
1996,Heart,6-10 Years,33,"68.62 [49.47, 81.74]","77.24 [58.07, 88.45]"
1996,Heart,65+,160,"65.75 [57.76, 72.59]","65.53 [57.60, 72.34]"
1997,Heart/Lung,1-5 Years,3,*,*
1997,Heart/Lung,18-34,21,*,*
1997,Heart/Lung,35-49,27,*,*
1997,Heart/Lung,50-64,9,*,*
1997,Heart/Lung,6-10 Years,2,*,*
1997,Heart,<1 Year,92,"63.65 [52.84, 72.62]","67.84 [57.10, 76.44]"
1997,Heart,1-5 Years,61,"68.10 [54.64, 78.33]","75.97 [62.77, 85.02]"
1997,Heart,11-17 Years,78,"67.19 [55.41, 76.50]","69.43 [57.64, 78.54]"
1997,Heart,18-34,171,"68.46 [60.83, 74.91]","69.02 [61.41, 75.44]"
1997,Heart,35-49,445,"74.41 [70.04, 78.24]","74.82 [70.49, 78.61]"
1997,Heart,50-64,1139,"73.19 [70.50, 75.69]","74.29 [71.64, 76.74]"
1997,Heart,6-10 Years,29,"86.07 [67.01, 94.53]","86.21 [67.31, 94.59]"
1997,Heart,65+,191,"63.65 [56.37, 70.04]","63.87 [56.63, 70.23]"
1997,Heart,Not Reported,1,*,*
1998,Heart/Lung,<1 Year,4,*,*
1998,Heart/Lung,1-5 Years,2,*,*
1998,Heart/Lung,11-17 Years,1,*,*
1998,Heart/Lung,18-34,12,*,*
1998,Heart/Lung,35-49,18,*,"55.56 [30.51, 74.75]"
1998,Heart/Lung,50-64,7,*,*
1998,Heart,<1 Year,80,"68.82 [57.14, 77.93]","71.61 [60.12, 80.32]"
1998,Heart,1-5 Years,53,"76.65 [62.52, 86.02]","78.12 [63.96, 87.25]"
1998,Heart,11-17 Years,83,"72.16 [61.14, 80.54]","74.29 [63.33, 82.42]"
1998,Heart,18-34,156,"66.47 [58.44, 73.30]","68.19 [60.19, 74.92]"
1998,Heart,35-49,450,"73.50 [69.14, 77.35]","73.87 [69.54, 77.69]"
1998,Heart,50-64,1175,"71.64 [68.94, 74.14]","72.29 [69.62, 74.77]"
1998,Heart,6-10 Years,33,"66.67 [47.94, 79.96]","72.12 [53.18, 84.43]"
1998,Heart,65+,199,"64.39 [57.18, 70.70]","65.01 [57.91, 71.22]"
1998,Heart,Not Reported,1,*,*
1999,Heart/Lung,<1 Year,1,*,*
1999,Heart/Lung,1-5 Years,4,*,*
1999,Heart/Lung,11-17 Years,2,*,*
1999,Heart/Lung,18-34,11,*,*
1999,Heart/Lung,35-49,17,*,*
1999,Heart/Lung,50-64,11,*,*
1999,Heart/Lung,6-10 Years,2,*,*
1999,Heart,<1 Year,58,"70.25 [56.56, 80.36]","74.81 [61.13, 84.27]"
1999,Heart,1-5 Years,64,"68.50 [55.54, 78.40]","68.50 [55.54, 78.40]"
1999,Heart,11-17 Years,84,"63.05 [51.79, 72.37]","66.89 [55.52, 75.97]"
1999,Heart,18-34,166,"63.14 [55.21, 70.05]","65.01 [57.14, 71.80]"
1999,Heart,35-49,411,"75.57 [71.04, 79.49]","75.92 [71.43, 79.81]"
1999,Heart,50-64,1068,"71.06 [68.22, 73.70]","71.68 [68.85, 74.29]"
1999,Heart,6-10 Years,29,"75.86 [55.94, 87.69]","75.86 [55.94, 87.69]"
1999,Heart,65+,204,"69.29 [62.41, 75.16]","69.61 [62.79, 75.42]"
1999,Heart,Not Reported,1,*,*
2000,Heart/Lung,<1 Year,1,*,*
2000,Heart/Lung,1-5 Years,1,*,*
2000,Heart/Lung,11-17 Years,4,*,*
2000,Heart/Lung,18-34,13,*,*
2000,Heart/Lung,35-49,16,*,*
2000,Heart/Lung,50-64,9,*,*
2000,Heart/Lung,6-10 Years,2,*,*
2000,Heart,<1 Year,72,"73.34 [61.43, 82.09]","76.19 [64.51, 84.48]"
2000,Heart,1-5 Years,53,"74.44 [60.04, 84.29]","78.09 [63.88, 87.25]"
2000,Heart,11-17 Years,86,"74.68 [63.85, 82.70]","81.53 [71.21, 88.45]"
2000,Heart,18-34,154,"65.17 [56.91, 72.23]","67.57 [59.44, 74.41]"
2000,Heart,35-49,402,"74.92 [70.30, 78.93]","75.79 [71.26, 79.71]"
2000,Heart,50-64,1087,"73.24 [70.47, 75.79]","73.90 [71.17, 76.42]"
2000,Heart,6-10 Years,38,"83.28 [66.47, 92.13]","80.75 [63.81, 90.33]"
2000,Heart,65+,208,"67.46 [60.59, 73.40]","67.86 [60.99, 73.78]"
2001,Heart/Lung,1-5 Years,1,*,*
2001,Heart/Lung,11-17 Years,4,*,*
2001,Heart/Lung,18-34,5,*,*
2001,Heart/Lung,35-49,13,*,*
2001,Heart/Lung,50-64,3,*,*
2001,Heart/Lung,6-10 Years,1,*,*
2001,Heart,<1 Year,64,"73.12 [60.35, 82.36]","73.12 [60.35, 82.36]"
2001,Heart,1-5 Years,81,"69.47 [57.97, 78.40]","71.80 [60.36, 80.46]"
2001,Heart,11-17 Years,84,"66.31 [55.05, 75.37]","68.37 [57.12, 77.24]"
2001,Heart,18-34,178,"68.96 [61.49, 75.27]","71.17 [63.79, 77.31]"
2001,Heart,35-49,441,"75.33 [70.99, 79.13]","75.68 [71.37, 79.44]"
2001,Heart,50-64,1030,"74.41 [71.61, 76.98]","74.95 [72.17, 77.49]"
2001,Heart,6-10 Years,25,"78.20 [55.14, 90.34]","78.20 [55.14, 90.34]"
2001,Heart,65+,204,"61.17 [54.05, 67.53]","61.65 [54.60, 67.94]"
2002,Heart/Lung,<1 Year,1,*,*
2002,Heart/Lung,11-17 Years,5,*,*
2002,Heart/Lung,18-34,9,*,*
2002,Heart/Lung,35-49,8,*,*
2002,Heart/Lung,50-64,9,*,*
2002,Heart,<1 Year,70,"76.55 [64.58, 84.93]","80.47 [68.72, 88.17]"
2002,Heart,1-5 Years,74,"71.62 [59.87, 80.48]","72.63 [60.86, 81.39]"
2002,Heart,11-17 Years,88,"67.53 [56.54, 76.31]","71.13 [60.32, 79.49]"
2002,Heart,18-34,186,"68.28 [60.98, 74.50]","72.82 [65.68, 78.72]"
2002,Heart,35-49,384,"76.77 [72.17, 80.71]","77.90 [73.38, 81.75]"
2002,Heart,50-64,994,"73.88 [71.00, 76.52]","73.98 [71.12, 76.61]"
2002,Heart,6-10 Years,36,"69.44 [51.65, 81.77]","69.44 [51.65, 81.77]"
2002,Heart,65+,214,"66.04 [59.22, 71.99]","66.52 [59.74, 72.43]"
2003,Heart/Lung,11-17 Years,4,*,*
2003,Heart/Lung,18-34,6,*,*
2003,Heart/Lung,35-49,14,*,*
2003,Heart/Lung,50-64,1,*,*
2003,Heart/Lung,6-10 Years,1,*,*
2003,Heart,<1 Year,81,"58.75 [47.17, 68.63]","57.95 [46.44, 67.83]"
2003,Heart,1-5 Years,45,"72.98 [57.34, 83.67]","72.98 [57.34, 83.67]"
2003,Heart,11-17 Years,91,"66.76 [56.01, 75.45]","72.69 [62.04, 80.80]"
2003,Heart,18-34,181,"68.65 [61.28, 74.91]","70.24 [62.93, 76.38]"
2003,Heart,35-49,413,"73.99 [69.44, 77.97]","73.97 [69.42, 77.96]"
2003,Heart,50-64,937,"75.12 [72.20, 77.78]","76.17 [73.28, 78.79]"
2003,Heart,6-10 Years,45,"84.18 [69.65, 92.13]","88.73 [75.01, 95.15]"
2003,Heart,65+,168,"69.27 [61.62, 75.69]","68.85 [61.22, 75.29]"
2004,Heart/Lung,1-5 Years,2,*,*
2004,Heart/Lung,11-17 Years,3,*,*
2004,Heart/Lung,18-34,12,*,*
2004,Heart/Lung,35-49,13,*,*
2004,Heart/Lung,50-64,7,*,*
2004,Heart/Lung,6-10 Years,1,*,*
2004,Heart,<1 Year,71,"66.20 [53.94, 75.90]","67.61 [55.40, 77.15]"
2004,Heart,1-5 Years,71,"71.64 [59.56, 80.68]","76.63 [64.68, 84.99]"
2004,Heart,11-17 Years,87,"76.78 [66.03, 84.52]","81.63 [71.36, 88.50]"
2004,Heart,18-34,194,"61.11 [53.84, 67.59]","65.06 [57.79, 71.40]"
2004,Heart,35-49,376,"74.03 [69.23, 78.20]","74.82 [70.06, 78.94]"
2004,Heart,50-64,878,"75.67 [72.66, 78.40]","76.49 [73.52, 79.16]"
2004,Heart,6-10 Years,39,"82.05 [66.00, 91.01]","82.05 [66.00, 91.01]"
2004,Heart,65+,176,"70.20 [62.80, 76.40]","71.34 [64.00, 77.45]"
2005,Heart/Lung,11-17 Years,4,*,*
2005,Heart/Lung,18-34,13,*,*
2005,Heart/Lung,35-49,10,*,*
2005,Heart/Lung,50-64,7,*,*
2005,Heart,<1 Year,81,"71.54 [60.35, 80.08]","71.54 [60.35, 80.08]"
2005,Heart,1-5 Years,66,"69.08 [56.24, 78.84]","71.71 [58.88, 81.15]"
2005,Heart,11-17 Years,100,"69.74 [59.43, 77.91]","70.76 [60.50, 78.82]"
2005,Heart,18-34,223,"65.60 [58.88, 71.50]","67.82 [61.15, 73.59]"
2005,Heart,35-49,381,"76.89 [72.26, 80.85]","77.44 [72.84, 81.36]"
2005,Heart,50-64,888,"75.61 [72.62, 78.32]","76.20 [73.23, 78.88]"
2005,Heart,6-10 Years,35,"88.04 [71.17, 95.34]","88.04 [71.17, 95.34]"
2005,Heart,65+,200,"75.03 [68.35, 80.51]","75.82 [69.23, 81.19]"
2006,Heart/Lung,<1 Year,3,*,*
2006,Heart/Lung,1-5 Years,1,*,*
2006,Heart/Lung,11-17 Years,3,*,*
2006,Heart/Lung,18-34,3,*,*
2006,Heart/Lung,35-49,15,*,*
2006,Heart/Lung,50-64,6,*,*
2006,Heart,<1 Year,89,"67.01 [56.12, 75.78]","68.08 [57.20, 76.74]"
2006,Heart,1-5 Years,71,"82.80 [71.69, 89.85]","84.18 [73.23, 90.92]"
2006,Heart,11-17 Years,99,"77.66 [67.80, 84.83]","80.90 [71.37, 87.52]"
2006,Heart,18-34,212,"69.97 [63.20, 75.74]","72.01 [65.35, 77.61]"
2006,Heart,35-49,411,"74.75 [70.20, 78.70]","77.29 [72.86, 81.09]"
2006,Heart,50-64,917,"75.67 [72.74, 78.33]","76.59 [73.70, 79.21]"
2006,Heart,6-10 Years,36,"79.63 [61.95, 89.73]","79.63 [61.95, 89.73]"
2006,Heart,65+,236,"72.55 [66.33, 77.81]","72.74 [66.56, 77.97]"
2007,Heart/Lung,<1 Year,1,*,*
2007,Heart/Lung,1-5 Years,1,*,*
2007,Heart/Lung,11-17 Years,1,*,*
2007,Heart/Lung,18-34,9,*,*
2007,Heart/Lung,35-49,14,*,*
2007,Heart/Lung,50-64,5,*,*
2007,Heart,<1 Year,87,"72.19 [61.43, 80.41]","73.37 [62.69, 81.43]"
2007,Heart,1-5 Years,73,"77.30 [65.62, 85.44]","81.18 [69.77, 88.63]"
2007,Heart,11-17 Years,99,"77.16 [67.41, 84.33]","79.70 [70.03, 86.54]"
2007,Heart,18-34,201,"62.35 [55.22, 68.67]","63.69 [56.57, 69.95]"
2007,Heart,35-49,420,"75.21 [70.76, 79.08]","76.65 [72.27, 80.43]"
2007,Heart,50-64,908,"77.22 [74.33, 79.83]","77.70 [74.83, 80.29]"
2007,Heart,6-10 Years,37,"94.44 [79.52, 98.58]","97.30 [82.32, 99.61]"
2007,Heart,65+,235,"75.42 [69.34, 80.47]","75.24 [69.18, 80.27]"
2008,Heart/Lung,1-5 Years,2,*,*
2008,Heart/Lung,11-17 Years,3,*,*
2008,Heart/Lung,18-34,8,*,*
2008,Heart/Lung,35-49,7,*,*
2008,Heart/Lung,50-64,5,*,*
2008,Heart/Lung,6-10 Years,1,*,*
2008,Heart,<1 Year,99,"63.28 [52.92, 71.97]","65.87 [55.48, 74.39]"
2008,Heart,1-5 Years,101,"81.17 [71.77, 87.70]","85.20 [76.27, 90.96]"
2008,Heart,11-17 Years,92,"75.53 [65.24, 83.16]","76.43 [66.16, 83.96]"
2008,Heart,18-34,184,"67.71 [60.32, 74.02]","68.29 [60.92, 74.56]"
2008,Heart,35-49,382,"77.91 [73.36, 81.78]","79.40 [74.93, 83.17]"
2008,Heart,50-64,859,"77.63 [74.68, 80.28]","77.76 [74.82, 80.40]"
2008,Heart,6-10 Years,53,"81.09 [67.70, 89.35]","86.09 [73.01, 93.12]"
2008,Heart,65+,243,"71.75 [65.60, 77.00]","71.14 [64.99, 76.41]"
2009,Heart/Lung,1-5 Years,1,*,*
2009,Heart/Lung,11-17 Years,1,*,*
2009,Heart/Lung,18-34,9,*,*
2009,Heart/Lung,35-49,11,*,*
2009,Heart/Lung,50-64,4,*,*
2009,Heart/Lung,6-10 Years,1,*,*
2009,Heart,<1 Year,116,"75.78 [66.89, 82.59]","76.62 [67.79, 83.33]"
2009,Heart,1-5 Years,76,"71.62 [59.85, 80.49]","72.82 [61.07, 81.54]"
2009,Heart,11-17 Years,98,"82.25 [73.00, 88.57]","82.98 [73.71, 89.21]"
2009,Heart,18-34,181,"70.71 [63.41, 76.83]","71.91 [64.67, 77.91]"
2009,Heart,35-49,365,"78.13 [73.49, 82.05]","79.18 [74.61, 83.03]"
2009,Heart,50-64,911,"77.68 [74.82, 80.26]","77.95 [75.10, 80.52]"
2009,Heart,6-10 Years,44,"88.58 [74.70, 95.08]","93.18 [80.33, 97.75]"
2009,Heart,65+,272,"76.31 [70.76, 80.94]","75.98 [70.43, 80.64]"
2010,Heart/Lung,1-5 Years,1,*,*
2010,Heart/Lung,18-34,14,*,*
2010,Heart/Lung,35-49,10,*,*
2010,Heart/Lung,50-64,15,"66.67 [37.53, 84.56]","66.67 [37.53, 84.56]"
2010,Heart,<1 Year,104,"82.66 [73.90, 88.70]","85.44 [77.01, 90.95]"
2010,Heart,1-5 Years,74,"76.79 [65.34, 84.88]","80.66 [69.53, 88.07]"
2010,Heart,11-17 Years,107,"81.91 [73.10, 88.06]","83.80 [75.23, 89.61]"
2010,Heart,18-34,201,"79.81 [73.52, 84.77]","82.19 [76.08, 86.87]"
2010,Heart,35-49,394,"78.96 [74.56, 82.68]","79.98 [75.65, 83.62]"
2010,Heart,50-64,950,"77.76 [74.96, 80.28]","78.07 [75.29, 80.57]"
